path,keyword,link
texts/tree_forest_1.txt,tree forest,https://en.wikipedia.org/wiki/Fruit_tree
texts/tree_forest_2.txt,tree forest,https://en.wikipedia.org/wiki/Cell_wall
texts/tree_structure_1.txt,tree structure,https://en.wikipedia.org/wiki/Genetic_programming
texts/tree_structure_2.txt,tree structure,https://en.wikipedia.org/wiki/Java_(programming_language)
texts/tree_decision_1.txt,tree decision,https://en.wikipedia.org/wiki/Word-sense_disambiguation
texts/tree_decision_2.txt,tree decision,https://en.wikipedia.org/wiki/Game_complexity
texts/mars_planet_1.txt,mars planet,https://en.wikipedia.org/wiki/Astronaut
texts/mars_planet_2.txt,mars planet,https://en.wikipedia.org/wiki/Cowboy_Bebop
texts/mars_mythology_1.txt,mars mythology,https://en.wikipedia.org/wiki/Infanticide
texts/mars_mythology_2.txt,mars mythology,https://en.wikipedia.org/wiki/Heterosexuality
texts/mars_chocolate_bar_1.txt,mars chocolate bar,https://en.wikipedia.org/wiki/Dinnerladies_(TV_series)
texts/mars_chocolate_bar_2.txt,mars chocolate bar,https://en.wikipedia.org/wiki/Snickers
texts/nail_anatomy_1.txt,nail anatomy,https://en.wikipedia.org/wiki/Common_ostrich
texts/nail_anatomy_2.txt,nail anatomy,https://en.wikipedia.org/wiki/Skin
texts/nail_fastener_1.txt,nail fastener,https://en.wikipedia.org/wiki/Smelting
texts/nail_fastener_2.txt,nail fastener,https://en.wikipedia.org/wiki/Carpentry
texts/bolt_fastener_1.txt,bolt fastener,https://en.wikipedia.org/wiki/Washer_(hardware)
texts/bolt_fastener_2.txt,bolt fastener,https://en.wikipedia.org/wiki/Swaging
texts/bolt_climbing_1.txt,bolt climbing,https://en.wikipedia.org/wiki/Caving
texts/bolt_climbing_2.txt,bolt climbing,https://en.wikipedia.org/wiki/Lynn_Hill
texts/bolt_firearms_1.txt,bolt firearms,https://en.wikipedia.org/wiki/Gun_safety
texts/bolt_firearms_2.txt,bolt firearms,https://en.wikipedia.org/wiki/Rifle
